"","weight","subject"
"1",782.5,"squirrel 1"
"2",221.25,"squirrel 8"
"3",201.666666666667,"squirrel 9"
"4",533.75,"squirrel 16"
"5",653.571428571429,"squirrel 2"
"6",987.5,"squirrel 3"
"7",824.285714285714,"squirrel 4"
"8",634.166666666667,"squirrel 5"
"9",693.333333333333,"squirrel 6"
"10",473,"squirrel 7"
"11",620,"squirrel 10"
"12",745,"squirrel 11"
"13",682.5,"squirrel 12"
"14",392.5,"squirrel 13"
"15",498,"squirrel 14"
"16",298.75,"squirrel 15"
"17",310,"squirrel 17"
"18",912.5,"squirrel 18"
"19",845,"squirrel 19"
"20",852,"squirrel 20"
