"","subject","num_visits","num_trapped"
"1","squirrel 1",175,12
"2","squirrel 10",99,6
"3","squirrel 11",24,11
"4","squirrel 12",405,2
"5","squirrel 13",96,2
"6","squirrel 14",231,12
"7","squirrel 15",91,22
"8","squirrel 16",40,7
"9","squirrel 17",29,3
"10","squirrel 18",84,3
"11","squirrel 19",402,1
"12","squirrel 2",27,22
"13","squirrel 20",39,5
"14","squirrel 3",13,8
"15","squirrel 4",29,12
"16","squirrel 5",169,9
"17","squirrel 6",179,8
"18","squirrel 7",290,6
"19","squirrel 8",31,17
"20","squirrel 9",198,4
